93,1547,294,3015,8789,3035,1402,105,46,3862,3933,313,114,278,2525,1142,231,1996,623,2638,1453,103,1275,853,961,516,98,927,31,2038,68,3245,1379,1073,4287,1069,268,550,2196,137,1428,58,703,13373,1543,1406,130,597,160,96,72
78,934,547,2507,10059,3244,1718,112,64,2973,1703,310,168,191,1721,888,237,1874,672,2506,1077,176,1028,1399,710,625,49,1100,96,1711,303,3024,1200,1680,4162,834,375,535,2331,200,664,53,268,12639,1465,1077,105,621,359,76,65
110,719,852,1700,9978,3056,2357,150,85,4145,1815,274,265,537,2324,1187,213,2828,860,2673,2417,226,1647,791,997,1117,208,2348,264,2702,367,4359,1112,1159,6339,1530,739,619,4228,357,1250,12,472,22537,1478,1674,210,1092,563,252,88
315,1911,1554,1336,7503,2554,2467,168,136,5648,2753,596,354,633,2483,1050,209,5492,1485,3611,2028,210,2687,1738,1383,1532,257,4631,329,2624,342,5110,1485,943,9129,1726,931,888,4942,476,1750,93,1417,32836,2241,2541,426,1844,883,463,116
289,3844,3298,1713,10090,3691,2712,234,297,4828,3820,574,582,580,4012,2113,755,5294,4458,3483,2042,442,1869,1673,3208,3756,265,8262,479,2742,314,5857,868,1176,8681,2583,3091,877,5426,572,3386,120,3302,49515,3239,5193,410,2482,855,863,128
632,5387,5348,1729,8354,5562,2658,301,393,6612,6373,494,704,1140,3359,2305,420,5410,7632,3718,3908,689,1575,2015,3687,4417,582,11573,502,2011,394,7124,987,918,11916,3085,5036,1690,6136,983,6848,155,6038,61404,3842,9446,275,2279,843,894,198
1092,5082,5951,1411,11932,7257,2077,335,367,6675,5010,533,1400,829,5665,3706,1336,3281,8973,3038,2652,744,2112,2479,4555,5804,800,9948,585,1486,505,7237,1270,920,14168,3821,6181,1968,6997,912,5488,154,3485,55550,4067,10333,446,3635,1432,1220,201
925,4415,5797,1274,12308,8094,1767,331,282,6610,5145,521,1901,1277,5207,4295,1934,3097,8675,2590,3395,762,2076,3661,6250,2359,969,8375,856,1447,440,7672,1748,1972,12930,5598,6268,3211,6556,829,4239,127,2125,47106,4069,12197,415,2263,1954,1771,171
792,3014,6882,1440,14618,7532,1991,236,171,4383,3255,533,2470,565,5330,6079,2050,1672,5655,1916,4007,659,2998,2448,6469,2190,1314,4801,919,535,371,5717,1740,1541,7905,5797,5167,3528,7017,575,4024,80,1677,46056,3693,10171,239,2598,2911,1362,182
752,2280,4370,1426,11745,6891,1602,253,186,4066,2448,417,3077,566,6338,5416,2258,1293,4740,1677,3583,798,3651,2213,5641,1205,710,3498,792,462,319,6100,2438,1519,7609,7528,4169,4062,7715,573,2723,136,1495,37734,2832,9506,245,4775,4019,675,201
636,1682,4662,1394,9534,5406,1168,251,89,3476,3127,327,2751,632,6776,7469,2262,1390,2712,1787,4994,832,5051,3201,8453,987,812,2918,513,288,264,5509,2727,962,8362,6096,3220,4675,6406,593,2189,103,2268,29130,2284,8396,238,7184,4390,606,123
321,724,2317,1341,10644,3312,1113,203,83,3325,2850,193,1962,525,4642,3980,1245,1263,1737,2056,3856,1058,5630,1636,6391,249,348,2505,348,224,218,4195,864,1132,7398,5143,1514,4684,3702,402,1716,98,705,15168,1680,4763,229,5009,4166,412,102
140,845,1600,1310,6957,2056,1161,146,47,1351,3058,171,817,499,4424,2475,807,665,1205,2131,2594,651,4795,1472,3707,331,198,1904,216,283,146,2826,355,563,5966,3620,452,1621,4526,347,1307,15,1016,11174,836,2873,108,2653,2822,339,63
247,400,658,940,6466,1327,665,41,39,1758,2614,448,445,177,3059,897,471,539,1012,2512,1083,654,3331,999,1245,191,56,1648,207,138,146,2178,309,539,3643,1734,183,745,3039,227,919,20,1011,6920,679,2074,105,1118,2260,307,59
225,124,284,818,2707,933,771,73,10,939,1280,199,338,70,2587,685,183,103,658,1988,597,555,1657,857,737,327,45,707,108,84,80,1539,295,202,3464,918,100,337,1477,173,624,15,0,6907,344,760,122,380,1566,168,20
424,145,248,1510,3040,672,448,39,2,1439,851,200,134,13,1146,642,157,58,443,1296,309,405,1049,600,148,136,23,416,100,69,44,984,187,324,1932,526,70,118,610,93,248,13,349,5632,261,703,77,175,1119,50,34
425,140,73,1255,1571,398,254,31,0,966,640,235,56,14,787,233,81,46,240,588,145,206,683,363,123,0,15,290,28,15,22,603,125,274,801,263,0,37,195,39,158,16,166,3116,164,230,37,70,435,41,29
